Genus,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
Nothobranchius,13.701 ,0.359 ,0.496 ,0.723 ,4.70E-01,6.27E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Neoteleostei>Eurypterygia>Ctenosquamata>Acanthomorphata>Euacanthomorphacea>Percomorphaceae>Ovalentaria>Atherinomorphae>Cyprinodontiformes>Aplocheiloidei>Nothobranchiidae
Emalynvirus,0.334 ,0.358 ,1.915 ,0.187 ,8.52E-01,9.14E-01,Viruses>Duplodnaviria>Heunggongvirae>Uroviricota>Caudoviricetes>Caudovirales>Siphoviridae
Oceanimonas,54.284 ,0.358 ,0.374 ,0.958 ,3.38E-01,5.03E-01,Bacteria>Proteobacteria>Gammaproteobacteria>Aeromonadales>Aeromonadaceae
Candidatus_Bipolaricaulis,7.956 ,0.357 ,0.509 ,0.701 ,4.83E-01,6.38E-01,Bacteria>Bacteria incertae sedis>Bacteria candidate phyla>Candidatus Bipolaricaulota
Urocitellus,4.274 ,0.356 ,0.584 ,0.611 ,5.41E-01,6.91E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Euarchontoglires>Glires>Rodentia>Sciuromorpha>Sciuridae>Xerinae>Marmotini
Pichia,21.002 ,0.355 ,0.417 ,0.851 ,3.95E-01,5.58E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Saccharomycotina>Saccharomycetes>Saccharomycetales>Pichiaceae
Lodderomyces,7.797 ,0.352 ,0.503 ,0.700 ,4.84E-01,6.38E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Saccharomycotina>Saccharomycetes>Saccharomycetales>Debaryomycetaceae>Candida/Lodderomyces clade
Neodiprion,7.892 ,0.352 ,0.522 ,0.674 ,5.00E-01,6.53E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Endopterygota>Hymenoptera>Tenthredinoidea>Diprionidae>Diprioninae
Lyngbya,0.353 ,0.350 ,1.922 ,0.182 ,8.55E-01,9.16E-01,Bacteria>Terrabacteria group>Cyanobacteria/Melainabacteria group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae
Alysiella,9.807 ,0.349 ,0.436 ,0.801 ,4.23E-01,5.86E-01,Bacteria>Proteobacteria>Betaproteobacteria>Neisseriales>Neisseriaceae
Mitsuaria,46.352 ,0.348 ,0.452 ,0.770 ,4.42E-01,6.03E-01,Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiales genera incertae sedis
Tegillarca,0.524 ,0.347 ,2.242 ,0.155 ,8.77E-01,9.29E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Spiralia>Lophotrochozoa>Mollusca>Bivalvia>Autobranchia>Pteriomorphia>Arcoida>Arcoidea>Arcidae
Candidatus_Phaeomarinobacter,5.778 ,0.347 ,0.472 ,0.736 ,4.62E-01,6.21E-01,Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Parvibaculaceae
Dongshaea,17.454 ,0.347 ,0.455 ,0.763 ,4.46E-01,6.07E-01,Bacteria>Proteobacteria>Gammaproteobacteria>Aeromonadales>Aeromonadaceae
Pseudolysobacter,30.392 ,0.347 ,0.405 ,0.856 ,3.92E-01,5.56E-01,Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae
Saprolegnia,36.493 ,0.344 ,0.390 ,0.881 ,3.78E-01,5.43E-01,Eukaryota>Sar>Stramenopiles>Oomycota>Saprolegniales>Saprolegniaceae
Callorhinchus,13.190 ,0.344 ,0.516 ,0.666 ,5.06E-01,6.58E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Chondrichthyes>Holocephali>Chimaeriformes>Callorhinchidae
Scardovia,4.041 ,0.343 ,0.484 ,0.709 ,4.78E-01,6.34E-01,Bacteria>Terrabacteria group>Actinobacteria>Actinomycetia>Bifidobacteriales>Bifidobacteriaceae
Erysiphe,0.400 ,0.342 ,1.218 ,0.281 ,7.79E-01,8.62E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>sordariomyceta>Leotiomycetes>Erysiphales>Erysiphaceae
Hahella,33.072 ,0.342 ,0.418 ,0.818 ,4.13E-01,5.76E-01,Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Hahellaceae
Alkalihalobacillus,33.864 ,0.341 ,0.425 ,0.803 ,4.22E-01,5.86E-01,Bacteria>Terrabacteria group>Firmicutes>Bacilli>Bacillales>Bacillaceae
Populus,60.894 ,0.341 ,0.426 ,0.799 ,4.24E-01,5.87E-01,Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliopsida>Mesangiospermae>eudicotyledons>Gunneridae>Pentapetalae>rosids>fabids>Malpighiales>Salicaceae>Saliceae
Halogeometricum,2.775 ,0.341 ,0.524 ,0.650 ,5.16E-01,6.68E-01,Archaea>Euryarchaeota>Stenosarchaea group>Halobacteria>Haloferacales>Haloferacaceae
Riptortus,0.784 ,0.340 ,1.068 ,0.318 ,7.50E-01,8.44E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Paraneoptera>Hemiptera>Prosorrhyncha>Heteroptera>Euheteroptera>Neoheteroptera>Panheteroptera>Pentatomomorpha>Coreoidea>Alydidae
Azomonas,0.353 ,0.338 ,2.103 ,0.161 ,8.72E-01,9.27E-01,Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Azotobacter group
Citromicrobium,45.473 ,0.338 ,0.462 ,0.732 ,4.64E-01,6.23E-01,Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae
Paraliobacillus,8.979 ,0.337 ,0.497 ,0.679 ,4.97E-01,6.50E-01,Bacteria>Terrabacteria group>Firmicutes>Bacilli>Bacillales>Bacillaceae
Rhizopus,14.019 ,0.337 ,0.420 ,0.804 ,4.21E-01,5.85E-01,Eukaryota>Opisthokonta>Fungi>Fungi incertae sedis>Mucoromycota>Mucoromycotina>Mucoromycetes>Mucorales>Mucorineae>Rhizopodaceae
Sorodiplophrys,26.604 ,0.336 ,0.991 ,0.339 ,7.34E-01,8.35E-01,Eukaryota>Sar>Stramenopiles>Bigyra>Labyrinthulomycetes>Amphifilida
Nicrophorus,7.201 ,0.336 ,0.485 ,0.692 ,4.89E-01,6.43E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Endopterygota>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Silphidae>Nicrophorinae
Tegunavirus,3.507 ,0.336 ,1.341 ,0.250 ,8.02E-01,8.79E-01,Viruses>Duplodnaviria>Heunggongvirae>Uroviricota>Caudoviricetes>Caudovirales>Myoviridae
Mandrillus,1.383 ,0.335 ,0.828 ,0.405 ,6.86E-01,8.01E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Euarchontoglires>Primates>Haplorrhini>Simiiformes>Catarrhini>Cercopithecoidea>Cercopithecidae>Cercopithecinae
Salinibaculum,2.023 ,0.333 ,0.572 ,0.583 ,5.60E-01,7.05E-01,Archaea>Euryarchaeota>Stenosarchaea group>Halobacteria>Halobacteriales>Halobacteriales incertae sedis
Zhongshania,25.948 ,0.331 ,0.421 ,0.788 ,4.31E-01,5.93E-01,Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Spongiibacteraceae
Thorsellia,0.441 ,0.331 ,1.022 ,0.324 ,7.46E-01,8.41E-01,Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Thorselliaceae
Porphyromonas,408.315 ,0.331 ,0.344 ,0.960 ,3.37E-01,5.02E-01,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Bacteroidia>Bacteroidales>Porphyromonadaceae
Bracteacoccus,0.790 ,0.330 ,0.783 ,0.421 ,6.74E-01,7.92E-01,Eukaryota>Viridiplantae>Chlorophyta>core chlorophytes>Chlorophyceae>CS clade>Sphaeropleales>Bracteacoccaceae
Gomphonema,0.602 ,0.330 ,2.697 ,0.122 ,9.03E-01,9.45E-01,Eukaryota>Sar>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophyceae>Bacillariophycidae>Cymbellales>Gomphonemataceae
Ureaplasma,13.018 ,0.329 ,0.558 ,0.591 ,5.55E-01,7.01E-01,Bacteria>Terrabacteria group>Tenericutes>Mollicutes>Mycoplasmatales>Mycoplasmataceae
Candidatus_Kinetoplastibacterium,27.928 ,0.329 ,0.540 ,0.609 ,5.43E-01,6.91E-01,Bacteria>Proteobacteria>Betaproteobacteria>Betaproteobacteria incertae sedis
Pedosphaera,25.037 ,0.329 ,0.943 ,0.349 ,7.27E-01,8.29E-01,Bacteria>PVC group>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales>Verrucomicrobia subdivision 3
Pyricularia,27.173 ,0.329 ,0.507 ,0.648 ,5.17E-01,6.69E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>sordariomyceta>Sordariomycetes>Sordariomycetidae>Magnaporthales>Pyriculariaceae
Parasedimentitalea,13.139 ,0.328 ,0.475 ,0.691 ,4.90E-01,6.44E-01,Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae
Candidatus_Promineofilum,40.656 ,0.327 ,0.389 ,0.841 ,4.00E-01,5.64E-01,Bacteria>Terrabacteria group>Chloroflexi>Ardenticatenia>Ardenticatenales>Ardenticatenaceae
Anaerostipes,135.181 ,0.327 ,0.443 ,0.738 ,4.60E-01,6.21E-01,Bacteria>Terrabacteria group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae
Terricaulis,10.842 ,0.327 ,0.444 ,0.737 ,4.61E-01,6.21E-01,Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Caulobacteraceae
Pseudovirgaria,5.124 ,0.325 ,0.463 ,0.702 ,4.83E-01,6.37E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>dothideomyceta>Dothideomycetes>Dothideomycetes incertae sedis>Acrospermales>Acrospermaceae
Humisphaera,12.649 ,0.324 ,0.347 ,0.931 ,3.52E-01,5.16E-01,Bacteria>PVC group>Planctomycetes>Phycisphaerae>Tepidisphaerales>Tepidisphaeraceae
Grimontia,11.365 ,0.323 ,0.507 ,0.637 ,5.24E-01,6.75E-01,Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae
Syntrophus,344.870 ,0.322 ,0.749 ,0.430 ,6.67E-01,7.87E-01,Bacteria>Proteobacteria>delta/epsilon subdivisions>Deltaproteobacteria>Syntrophobacterales>Syntrophaceae
Epistylis,3.653 ,0.320 ,1.356 ,0.236 ,8.13E-01,8.86E-01,Eukaryota>Sar>Alveolata>Ciliophora>Intramacronucleata>Oligohymenophorea>Peritrichia>Sessilida>Epistylidae
Dothidotthia,4.842 ,0.320 ,0.477 ,0.672 ,5.02E-01,6.54E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>dothideomyceta>Dothideomycetes>Pleosporomycetidae>Pleosporales>Dothidotthiaceae
Botrytis,154.050 ,0.320 ,0.439 ,0.730 ,4.66E-01,6.24E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>sordariomyceta>Leotiomycetes>Helotiales>Sclerotiniaceae
Trichosporon,42.548 ,0.320 ,0.418 ,0.766 ,4.44E-01,6.05E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Basidiomycota>Agaricomycotina>Tremellomycetes>Trichosporonales>Trichosporonaceae
Coccomyxa,6.043 ,0.320 ,0.476 ,0.672 ,5.01E-01,6.54E-01,Eukaryota>Viridiplantae>Chlorophyta>core chlorophytes>Trebouxiophyceae>Trebouxiophyceae incertae sedis>Elliptochloris clade
Mariniblastus,8.495 ,0.319 ,0.512 ,0.624 ,5.33E-01,6.84E-01,Bacteria>PVC group>Planctomycetes>Planctomycetia>Pirellulales>Pirellulaceae
Oikopleura,0.359 ,0.319 ,1.309 ,0.244 ,8.08E-01,8.82E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Tunicata>Appendicularia>Copelata>Oikopleuridae
Cyanobium,14.245 ,0.319 ,0.487 ,0.655 ,5.13E-01,6.65E-01,Bacteria>Terrabacteria group>Cyanobacteria/Melainabacteria group>Cyanobacteria>Synechococcales>Synechococcaceae
Sus,1247.245 ,0.318 ,0.372 ,0.855 ,3.93E-01,5.56E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Laurasiatheria>Artiodactyla>Suina>Suidae
Candidatus_Glomeribacter,4.868 ,0.317 ,0.718 ,0.442 ,6.59E-01,7.81E-01,Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae
Gemmobacter,160.001 ,0.315 ,0.329 ,0.958 ,3.38E-01,5.03E-01,Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae
Eikenella,21.514 ,0.314 ,0.399 ,0.785 ,4.32E-01,5.94E-01,Bacteria>Proteobacteria>Betaproteobacteria>Neisseriales>Neisseriaceae
Sneathia,6.875 ,0.313 ,0.494 ,0.633 ,5.26E-01,6.77E-01,Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales>Leptotrichiaceae
Methylococcus,51.918 ,0.312 ,0.424 ,0.736 ,4.62E-01,6.22E-01,Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylococcaceae
Eremomyces,5.419 ,0.311 ,0.509 ,0.610 ,5.42E-01,6.91E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>dothideomyceta>Dothideomycetes>Dothideomycetes incertae sedis>Eremomycetales>Eremomycetaceae
Roseimarinus,0.756 ,0.309 ,3.094 ,0.100 ,9.20E-01,9.56E-01,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Bacteroidia>Marinilabiliales>Prolixibacteraceae
Candidatus_Ruthia,7.553 ,0.308 ,0.528 ,0.583 ,5.60E-01,7.05E-01,Bacteria>Proteobacteria>Gammaproteobacteria>Gammaproteobacteria incertae sedis>sulfur&#x2011;oxidizing symbionts
Cycloclasticus,31.926 ,0.308 ,0.473 ,0.650 ,5.16E-01,6.68E-01,Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales>Piscirickettsiaceae
Luteitalea,14.377 ,0.306 ,0.415 ,0.737 ,4.61E-01,6.21E-01,Bacteria>Acidobacteria>Vicinamibacteria>Vicinamibacteraceae
Neophocaena,2.050 ,0.305 ,0.706 ,0.432 ,6.65E-01,7.86E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Laurasiatheria>Artiodactyla>Whippomorpha>Cetacea>Odontoceti>Phocoenidae
Bemisia,13.882 ,0.303 ,0.522 ,0.582 ,5.61E-01,7.06E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Paraneoptera>Hemiptera>Sternorrhyncha>Aleyrodoidea>Aleyrodidae>Aleyrodinae
Wenzhouxiangella,22.089 ,0.303 ,0.440 ,0.689 ,4.91E-01,6.45E-01,Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Wenzhouxiangellaceae
Pseudovibrio,7.303 ,0.298 ,0.421 ,0.709 ,4.78E-01,6.34E-01,Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae
Tropidoclonion,0.606 ,0.297 ,2.110 ,0.141 ,8.88E-01,9.35E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Lepidosauria>Squamata>Bifurcata>Unidentata>Episquamata>Toxicofera>Serpentes>Colubroidea>Colubridae>Natricinae
Amanita,0.567 ,0.295 ,0.756 ,0.390 ,6.96E-01,8.09E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Basidiomycota>Agaricomycotina>Agaricomycetes>Agaricomycetidae>Agaricales>Amanitaceae
Ruegeria,100.058 ,0.295 ,0.411 ,0.718 ,4.73E-01,6.29E-01,Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae
Haematobacter,132.280 ,0.294 ,0.346 ,0.850 ,3.95E-01,5.59E-01,Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae
Carlavirus,12.526 ,0.294 ,0.987 ,0.298 ,7.66E-01,8.54E-01,Viruses>Riboviria>Orthornavirae>Kitrinoviricota>Alsuviricetes>Tymovirales>Betaflexiviridae>Quinvirinae
Mycena,3.890 ,0.294 ,0.502 ,0.586 ,5.58E-01,7.04E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Basidiomycota>Agaricomycotina>Agaricomycetes>Agaricomycetidae>Agaricales>Mycenaceae
Polaromonas,1779.552 ,0.293 ,0.389 ,0.754 ,4.51E-01,6.12E-01,Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae
Variovorax,2071.927 ,0.293 ,0.336 ,0.871 ,3.84E-01,5.47E-01,Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae
Nitratireductor,93.697 ,0.293 ,0.398 ,0.735 ,4.63E-01,6.22E-01,Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae
Marinilactibacillus,59.534 ,0.292 ,0.383 ,0.761 ,4.46E-01,6.07E-01,Bacteria>Terrabacteria group>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae
Duganella,97.432 ,0.291 ,0.375 ,0.776 ,4.38E-01,5.98E-01,Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae
Halovivax,2.307 ,0.291 ,0.523 ,0.556 ,5.78E-01,7.20E-01,Archaea>Euryarchaeota>Stenosarchaea group>Halobacteria>Natrialbales>Natrialbaceae
Dichotrachelus,0.354 ,0.289 ,3.094 ,0.093 ,9.26E-01,9.58E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Endopterygota>Coleoptera>Polyphaga>Cucujiformia>Curculionoidea>Curculionidae>Cyclominae
Empoasca,0.354 ,0.289 ,3.094 ,0.093 ,9.26E-01,9.58E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Paraneoptera>Hemiptera>Auchenorrhyncha>Cicadomorpha>Membracoidea>Cicadellidae>Typhlocybinae>Empoascini
Candidatus_Tokpelaia,5.397 ,0.289 ,0.443 ,0.652 ,5.15E-01,6.68E-01,Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiales incertae sedis
Cosmarium,0.557 ,0.287 ,0.969 ,0.296 ,7.67E-01,8.55E-01,Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Zygnemophyceae>Zygnematophycidae>Desmidiales>Desmidiaceae
Martelella,100.689 ,0.287 ,0.391 ,0.734 ,4.63E-01,6.23E-01,Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Aurantimonadaceae
Lacipirellula,104.512 ,0.285 ,0.380 ,0.751 ,4.53E-01,6.14E-01,Bacteria>PVC group>Planctomycetes>Planctomycetia>Pirellulales>Lacipirellulaceae
Sarcophilus,49.030 ,0.285 ,0.578 ,0.493 ,6.22E-01,7.56E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Metatheria>Dasyuromorphia>Dasyuridae
Macroventuria,6.900 ,0.284 ,0.458 ,0.621 ,5.35E-01,6.85E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>dothideomyceta>Dothideomycetes>Pleosporomycetidae>Pleosporales>Pleosporineae>Didymellaceae
Glaciimonas,15.767 ,0.283 ,0.488 ,0.581 ,5.61E-01,7.06E-01,Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae
Pseudocnuella,110.314 ,0.283 ,0.403 ,0.703 ,4.82E-01,6.37E-01,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Chitinophagia>Chitinophagales>Chitinophagaceae
Gemykibivirus,0.339 ,0.282 ,1.309 ,0.215 ,8.29E-01,8.99E-01,Viruses>Monodnaviria>Shotokuvirae>Cressdnaviricota>Repensiviricetes>Geplafuvirales>Genomoviridae
Schaalia,1799.203 ,0.282 ,0.375 ,0.752 ,4.52E-01,6.14E-01,Bacteria>Terrabacteria group>Actinobacteria>Actinomycetia>Actinomycetales>Actinomycetaceae
Phaeoacremonium,3.118 ,0.281 ,0.428 ,0.656 ,5.12E-01,6.65E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>sordariomyceta>Sordariomycetes>Sordariomycetidae>Togniniales>Togniniaceae
Pandoraea,203.215 ,0.280 ,0.391 ,0.718 ,4.73E-01,6.29E-01,Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae
Coprinopsis,4.207 ,0.279 ,0.475 ,0.588 ,5.56E-01,7.03E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Basidiomycota>Agaricomycotina>Agaricomycetes>Agaricomycetidae>Agaricales>Psathyrellaceae
Naegleria,47.186 ,0.276 ,0.445 ,0.621 ,5.35E-01,6.85E-01,Eukaryota>Discoba>Heterolobosea>Tetramitia>Eutetramitia>Vahlkampfiidae
Auxenochlorella,7.567 ,0.276 ,0.453 ,0.609 ,5.43E-01,6.91E-01,Eukaryota>Viridiplantae>Chlorophyta>core chlorophytes>Trebouxiophyceae>Chlorellales>Chlorellaceae
Leptomonas,11.045 ,0.275 ,0.483 ,0.570 ,5.69E-01,7.13E-01,Eukaryota>Discoba>Euglenozoa>Kinetoplastea>Metakinetoplastina>Trypanosomatida>Trypanosomatidae>Leishmaniinae
Opisthorchis,4.831 ,0.275 ,0.501 ,0.548 ,5.84E-01,7.25E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Spiralia>Lophotrochozoa>Platyhelminthes>Trematoda>Digenea>Opisthorchiida>Opisthorchiata>Opisthorchiidae
Salarchaeum,2.047 ,0.274 ,0.567 ,0.484 ,6.29E-01,7.61E-01,Archaea>Euryarchaeota>Stenosarchaea group>Halobacteria>Halobacteriales>Halobacteriaceae
Oceanithermus,6.429 ,0.274 ,0.514 ,0.533 ,5.94E-01,7.33E-01,Bacteria>Terrabacteria group>Deinococcus&#x2011;Thermus>Deinococci>Thermales>Thermaceae
Gloeophyllum,3.854 ,0.273 ,0.449 ,0.608 ,5.43E-01,6.91E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Basidiomycota>Agaricomycotina>Agaricomycetes>Agaricomycetes incertae sedis>Gloeophyllales>Gloeophyllaceae
Lepisosteus,16.317 ,0.272 ,0.528 ,0.515 ,6.07E-01,7.44E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Holostei>Semionotiformes>Lepisosteidae
Salaquimonas,8.991 ,0.270 ,0.443 ,0.610 ,5.42E-01,6.91E-01,Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae
Arizona,0.528 ,0.270 ,1.602 ,0.169 ,8.66E-01,9.24E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Lepidosauria>Squamata>Bifurcata>Unidentata>Episquamata>Toxicofera>Serpentes>Colubroidea>Colubridae>Colubrinae
Alkalilimnicola,11.402 ,0.267 ,0.477 ,0.560 ,5.75E-01,7.18E-01,Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Ectothiorhodospiraceae
Chloroparvula,3.012 ,0.267 ,0.719 ,0.371 ,7.11E-01,8.18E-01,Eukaryota>Viridiplantae>Chlorophyta>Chloropicophyceae>Chloropicales>Chloropicaceae
Selaginella,12.765 ,0.266 ,0.433 ,0.614 ,5.39E-01,6.89E-01,Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Lycopodiopsida>Selaginellales>Selaginellaceae
Gouania,244.453 ,0.266 ,0.538 ,0.494 ,6.22E-01,7.56E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Neoteleostei>Eurypterygia>Ctenosquamata>Acanthomorphata>Euacanthomorphacea>Percomorphaceae>Ovalentaria>Blenniimorphae>Blenniiformes>Gobiesocoidei>Gobiesocidae>Gobiesocinae
